#chrom	cdsStart	cdsEnd	name2
chr1	155183938	155183938	GBAP1
chr1	242220386	242220386	TUBB8P6
chr1	131024	131024	CICP27
chr1	17017712	17017712	ESPNP
chr1	35519068	35519068	RP11-248I9.2
chr1	38010363	38010363	FTH1P1
chr1	47308849	47308849	CYP4Z2P
chr1	48627470	48627470	SKINTL
chr1	52027537	52027537	CALR4P
chr1	107347095	107347095	RP11-233E12.2
chr1	121107123	121107123	SRGAP2C
chr1	121107153	121107153	SRGAP2C
chr1	143916241	143916241	SRGAP2B
chr1	146011090	146011090	RP11-94I2.1
chr1	146032647	146032647	WI2-3658N16.1
chr1	146492878	146492878	NBPF13P
chr1	155581010	155581010	MSTO2P
chr1	166581706	166581706	FMO9P
chr1	177977218	177977218	RP11-568K15.1
chr1	200890121	200890121	MROH3P
chr1	207338840	207338840	C4BPAP1
chr1	246672339	246672339	RP11-690C23.4
chr1	246935138	246935138	RP11-439E19.8
chr1	11871	11871	DDX11L1
chr1	11873	11873	DDX11L1
chr1	12009	12009	DDX11L1
chr1	14362	14362	WASH7P
chr1	14362	14362	WASH7P
chr1	14362	14362	WASH7P
chr1	14403	14403	WASH7P
chr1	14410	14410	WASH7P
chr1	52472	52472	OR4G4P
chr1	53048	53048	OR4G4P
chr1	62947	62947	OR4G11P
chr1	135140	135140	RP11-34P13.15
chr1	137681	137681	RP11-34P13.16
chr1	228291	228291	AP006222.1
chr1	228318	228318	AP006222.1
chr1	326095	326095	RP4-669L17.8
chr1	329430	329430	CICP7
chr1	334125	334125	RP4-669L17.4
chr1	379104	379104	WBP1LP7
chr1	450819	450819	AL732372.1
chr1	470970	470970	RP4-669L17.1
chr1	564441	564441	MTND1P23
chr1	565019	565019	MTND2P28
chr1	566453	566453	hsa-mir-6723
chr1	568136	568136	RP5-857K21.7
chr1	568914	568914	MTATP8P1
chr1	569075	569075	MTATP6P1
chr1	569755	569755	RP5-857K21.11
chr1	610221	610221	WBP1LP6
chr1	657471	657471	CICP3
chr1	661610	661610	RP11-206L10.1
chr1	736258	736258	RP11-206L10.8
chr1	808671	808671	TUBB8P11
chr1	943455	943455	RP11-54O7.10
chr1	998458	998458	RP11-465B22.3
chr1	1314045	1314045	RP5-890O3.3
chr1	1497725	1497725	AL645728.2
chr1	1515135	1515135	AL645728.3
chr1	1604713	1604713	RP11-345P4.6
chr1	1631368	1631368	MMP23A
chr1	1631380	1631380	MMP23A
chr1	1667255	1667255	RP1-283E3.4
chr1	2283082	2283082	RP4-740C4.5
chr1	2316810	2316810	AL513477.1
chr1	2978522	2978522	AL008733.1
chr1	4235587	4235587	RP11-374C13.1
chr1	6607964	6607964	RP11-58A11.2
chr1	6894392	6894392	RP11-312B8.2
chr1	8002431	8002431	RP5-892F13.2
chr1	8117304	8117304	CTA-215D11.4
chr1	8249883	8249883	RP11-431K24.2
chr1	8572711	8572711	RP5-1115A15.2
chr1	8810488	8810488	RP4-633I8.1
chr1	8846269	8846269	RP4-633I8.2
chr1	8858533	8858533	RP4-633I8.3
chr1	8891065	8891065	RP11-185B14.1
chr1	8953467	8953467	HMGN2P17
chr1	8953567	8953567	HMGN2P17
